Method,# Runs,Noise-level [dB],Seed,Mean,Std,Time elapsed [s]
jade,100,20,,0.4263243829993836,0.0003128139175565951,3.6975438594818115
jade,100,20,,0.43819796370485464,0.03143703860116543,3.1822421550750732
jade,100,20,,0.43073257530444736,0.011314187365816712,3.1012189388275146
jade,100,20,,0.4279698161024287,0.0075859510509870285,3.080524206161499
jade,100,20,,0.4345703228214848,0.012780351898020296,3.2514808177948
jade,100,20,,0.4293937776644053,0.007410448865826841,3.098328113555908
jade,100,20,,0.42677680562681464,0.016541214228772853,3.190542221069336
jade,100,20,,0.6435952843974608,0.00010221265076955314,5.330642938613892
jade,100,20,,0.43701176705594574,0.14293606457376026,4.327911138534546
jade,10000,20,,0.4409253501583706,0.14543779020648204,384.40828680992126
jade,100,20,,0.43233016416173436,0.12653306095731234,3.484192132949829
coro_ica,100,20,,0.4842341961386883,0.1246331597320364,17.16792321205139
coro_ica,100,20,,0.7823558843255133,0.09297097448017926,15.815429925918579
coro_ica,100,20,,0.838876704175433,0.02799594701808185,5.334814786911011
coro_ica,100,20,,0.48876415987725425,0.14587720432767715,26.871975898742676
coro_ica,100,20,,0.7627871536653456,0.018428784557844247,10.41667103767395
coro_ica,100,20,,0.5020999959561895,0.11141072853252389,16.32573413848877
